Timestamp;US1Value;US2Value
23.05.2021 09:22;347;600
23.05.2021 09:23;346;602
23.05.2021 09:24;347;601
23.05.2021 09:25;347;603
23.05.2021 09:26;347;603
23.05.2021 09:27;347;603
23.05.2021 09:28;348;603
23.05.2021 09:29;348;604
23.05.2021 09:30;348;605
23.05.2021 09:31;349;604
23.05.2021 09:32;349;605
23.05.2021 09:33;349;605
23.05.2021 09:34;349;605
23.05.2021 09:35;349;607
23.05.2021 09:36;349;607
23.05.2021 09:37;349;607
23.05.2021 09:38;349;607
23.05.2021 09:39;349;607
23.05.2021 09:40;349;608
23.05.2021 09:41;349;608
23.05.2021 09:42;349;608
23.05.2021 09:43;349;608
23.05.2021 09:44;349;608
23.05.2021 09:45;349;608
23.05.2021 09:46;349;609
23.05.2021 09:47;349;608
23.05.2021 09:48;349;608
23.05.2021 09:49;350;608
23.05.2021 09:50;350;608
23.05.2021 09:51;350;608
23.05.2021 09:52;350;608
23.05.2021 09:53;350;608
23.05.2021 09:54;350;609
23.05.2021 09:55;350;609
23.05.2021 09:56;350;609
23.05.2021 09:57;350;609
23.05.2021 09:58;350;609
23.05.2021 09:59;350;609
23.05.2021 10:00;350;610
23.05.2021 10:01;350;610
23.05.2021 10:02;350;610
23.05.2021 10:03;350;610
23.05.2021 10:04;350;610
23.05.2021 10:05;350;610
23.05.2021 10:06;350;610
23.05.2021 10:07;350;608
23.05.2021 10:08;350;604
23.05.2021 10:09;350;600
23.05.2021 10:10;350;598
23.05.2021 10:11;313;595
23.05.2021 10:12;233;594
23.05.2021 10:13;233;592
23.05.2021 10:14;272;590
23.05.2021 10:15;315;588
23.05.2021 10:16;386;585
23.05.2021 10:17;446;582
23.05.2021 10:18;446;560
23.05.2021 10:19;446;500
23.05.2021 10:20;266;647
23.05.2021 10:21;207;698
23.05.2021 10:22;207;684
23.05.2021 10:23;207;674
23.05.2021 10:24;207;668
23.05.2021 10:25;207;664
23.05.2021 10:26;207;661
23.05.2021 10:27;207;659
23.05.2021 10:28;207;656
23.05.2021 10:29;207;655
23.05.2021 10:30;207;654
23.05.2021 10:31;207;653
23.05.2021 10:32;207;652
23.05.2021 10:33;207;652
23.05.2021 10:34;207;651
23.05.2021 10:35;207;650
23.05.2021 10:36;207;650
23.05.2021 10:37;207;649
23.05.2021 10:38;207;649
23.05.2021 10:39;207;649
23.05.2021 10:40;207;648
23.05.2021 10:41;207;649
23.05.2021 10:42;207;648
23.05.2021 10:43;207;648
23.05.2021 10:44;207;648
23.05.2021 10:45;207;648
23.05.2021 10:46;207;648
23.05.2021 10:47;207;647
23.05.2021 10:48;207;647
23.05.2021 10:49;207;647
23.05.2021 10:50;207;646
23.05.2021 10:51;207;647
23.05.2021 10:52;207;646
23.05.2021 10:53;207;646
23.05.2021 10:54;207;646
23.05.2021 10:55;207;646
23.05.2021 10:56;207;646
23.05.2021 10:57;207;645
23.05.2021 10:58;207;645
23.05.2021 10:59;207;645
23.05.2021 11:00;207;645
23.05.2021 11:01;207;645
23.05.2021 11:02;207;645
23.05.2021 11:03;207;645
23.05.2021 11:04;207;645
23.05.2021 11:05;207;645
23.05.2021 11:06;207;645
23.05.2021 11:07;207;645
23.05.2021 11:08;207;645
