Timestamp;US1Value;US2Value
25.04.2021 00:03;234;643
25.04.2021 00:08;580;624
25.04.2021 00:13;270;630
25.04.2021 00:18;270;612
25.04.2021 00:23;270;609
25.04.2021 00:28;270;607
25.04.2021 00:33;270;604
25.04.2021 00:38;270;603
25.04.2021 00:43;270;603
25.04.2021 00:48;270;602
25.04.2021 00:53;448;600
25.04.2021 00:58;423;678
25.04.2021 01:03;230;706
25.04.2021 01:08;232;667
25.04.2021 01:13;232;658
25.04.2021 01:18;232;654
25.04.2021 01:23;232;651
25.04.2021 01:28;232;650
25.04.2021 01:33;232;649
25.04.2021 01:38;232;648
25.04.2021 01:43;232;647
25.04.2021 01:48;232;646
25.04.2021 01:53;232;645
25.04.2021 01:58;232;645
25.04.2021 02:03;232;644
25.04.2021 02:08;232;644
25.04.2021 02:13;232;643
25.04.2021 02:18;232;643
25.04.2021 02:23;232;643
25.04.2021 02:28;232;642
25.04.2021 02:33;232;641
25.04.2021 02:38;232;641
25.04.2021 02:43;232;641
25.04.2021 02:48;232;641
25.04.2021 02:53;232;640
25.04.2021 02:58;232;640
25.04.2021 03:03;232;639
25.04.2021 03:08;232;639
25.04.2021 03:13;232;639
25.04.2021 03:18;232;639
25.04.2021 03:23;232;637
25.04.2021 03:28;232;637
25.04.2021 03:33;232;637
25.04.2021 03:38;232;636
25.04.2021 03:43;232;636
25.04.2021 03:48;232;635
25.04.2021 03:53;232;635
25.04.2021 03:58;414;634
25.04.2021 04:03;218;694
25.04.2021 04:08;561;642
25.04.2021 04:13;257;638
25.04.2021 04:18;257;620
25.04.2021 04:23;257;616
25.04.2021 04:28;257;614
25.04.2021 04:33;257;612
25.04.2021 04:38;257;611
25.04.2021 04:43;257;610
25.04.2021 04:48;257;610
25.04.2021 04:53;257;609
25.04.2021 04:58;258;608
25.04.2021 05:03;258;608
25.04.2021 05:08;257;608
25.04.2021 05:13;258;607
25.04.2021 05:18;257;607
25.04.2021 05:23;257;605
25.04.2021 05:28;258;605
25.04.2021 05:33;257;605
25.04.2021 05:38;257;604
25.04.2021 05:43;257;603
25.04.2021 05:48;257;603
25.04.2021 05:53;257;603
25.04.2021 05:58;257;603
25.04.2021 06:03;257;602
25.04.2021 06:08;257;602
25.04.2021 06:13;257;601
25.04.2021 06:18;257;601
25.04.2021 06:23;257;601
25.04.2021 06:28;257;600
25.04.2021 06:33;257;600
25.04.2021 06:38;257;600
25.04.2021 06:43;257;600
25.04.2021 06:48;257;600
25.04.2021 06:53;257;599
25.04.2021 06:58;440;599
25.04.2021 07:03;228;679
25.04.2021 07:08;227;649
